episode,total_dist,best_dist,steps,routes,avg_loss,epsilon
1,5089.927005767822,5089.927005767822,,,,1.47477
2,4153.260796070099,4153.260796070099,,,,1.47477
3,3058.7758420705795,3058.7758420705795,,,,1.47477
4,2891.6951563358307,2891.6951563358307,,,,1.47477
5,2642.874366760254,2642.874366760254,,,,1.47477
6,2711.5820339918137,2642.874366760254,,,,1.47477
7,2693.965089917183,2642.874366760254,,,,1.47477
8,2685.8492265939713,2642.874366760254,,,,1.47477
9,2770.29085791111,2642.874366760254,,,,1.47477
10,2729.103989481926,2642.874366760254,,,,1.47477
1,5089.927005767822,5089.927005767822,,,,1.44954
2,4153.260796070099,4153.260796070099,,,,1.44954
3,3058.7758420705795,3058.7758420705795,,,,1.44954
4,2891.6951563358307,2891.6951563358307,,,,1.44954
5,2642.874366760254,2642.874366760254,,,,1.44954
6,2711.5820339918137,2642.874366760254,,,,1.44954
7,2693.965089917183,2642.874366760254,,,,1.44954
8,2685.8492265939713,2642.874366760254,,,,1.44954
9,2770.29085791111,2642.874366760254,,,,1.44954
10,2729.103989481926,2642.874366760254,,,,1.44954
11,2720.2985109090805,2642.874366760254,,,,1.44954
12,3038.1537511348724,2642.874366760254,,,,1.44954
13,2973.1745265722275,2642.874366760254,,,,1.44954
14,2984.4916095733643,2642.874366760254,,,,1.44954
15,2936.4625174999237,2642.874366760254,,,,1.44954
16,3195.116120815277,2642.874366760254,,,,1.44954
17,3122.7876147031784,2642.874366760254,,,,1.44954
18,3062.061686873436,2642.874366760254,,,,1.44954
19,3015.391469836235,2642.874366760254,,,,1.44954
20,3084.890354037285,2642.874366760254,,,,1.44954
1,5089.927005767822,5089.927005767822,,,,1.424136
2,4153.260796070099,4153.260796070099,,,,1.424136
3,3058.7758420705795,3058.7758420705795,,,,1.424136
4,2891.6951563358307,2891.6951563358307,,,,1.424136
5,2642.874366760254,2642.874366760254,,,,1.424136
6,2711.5820339918137,2642.874366760254,,,,1.424136
7,2693.965089917183,2642.874366760254,,,,1.424136
8,2685.8492265939713,2642.874366760254,,,,1.424136
9,2770.29085791111,2642.874366760254,,,,1.424136
10,2729.103989481926,2642.874366760254,,,,1.424136
11,2720.2985109090805,2642.874366760254,,,,1.424136
12,3038.1537511348724,2642.874366760254,,,,1.424136
13,2973.1745265722275,2642.874366760254,,,,1.424136
14,2984.4916095733643,2642.874366760254,,,,1.424136
15,2936.4625174999237,2642.874366760254,,,,1.424136
16,3195.116120815277,2642.874366760254,,,,1.424136
17,3122.7876147031784,2642.874366760254,,,,1.424136
18,3062.061686873436,2642.874366760254,,,,1.424136
19,3015.391469836235,2642.874366760254,,,,1.424136
20,3084.890354037285,2642.874366760254,,,,1.424136
21,3244.3600928783417,2642.874366760254,,,,1.424136
22,3127.550969481468,2642.874366760254,,,,1.424136
23,3397.098883986473,2642.874366760254,,,,1.424136
24,3258.7690089941025,2642.874366760254,,,,1.424136
25,3182.1533073186874,2642.874366760254,,,,1.424136
26,3012.7193529605865,2642.874366760254,,,,1.424136
27,3393.6438816785812,2642.874366760254,,,,1.424136
28,3259.5268610715866,2642.874366760254,,,,1.424136
29,3262.5748953819275,2642.874366760254,,,,1.424136
30,3307.613733768463,2642.874366760254,,,,1.424136
1,5089.927005767822,5089.927005767822,,,,1.398732
2,4153.260796070099,4153.260796070099,,,,1.398732
3,3058.7758420705795,3058.7758420705795,,,,1.398732
4,2891.6951563358307,2891.6951563358307,,,,1.398732
5,2642.874366760254,2642.874366760254,,,,1.398732
6,2711.5820339918137,2642.874366760254,,,,1.398732
7,2693.965089917183,2642.874366760254,,,,1.398732
8,2685.8492265939713,2642.874366760254,,,,1.398732
9,2770.29085791111,2642.874366760254,,,,1.398732
10,2729.103989481926,2642.874366760254,,,,1.398732
11,2720.2985109090805,2642.874366760254,,,,1.398732
12,3038.1537511348724,2642.874366760254,,,,1.398732
13,2973.1745265722275,2642.874366760254,,,,1.398732
14,2984.4916095733643,2642.874366760254,,,,1.398732
15,2936.4625174999237,2642.874366760254,,,,1.398732
16,3195.116120815277,2642.874366760254,,,,1.398732
17,3122.7876147031784,2642.874366760254,,,,1.398732
18,3062.061686873436,2642.874366760254,,,,1.398732
19,3015.391469836235,2642.874366760254,,,,1.398732
20,3084.890354037285,2642.874366760254,,,,1.398732
21,3244.3600928783417,2642.874366760254,,,,1.398732
22,3127.550969481468,2642.874366760254,,,,1.398732
23,3397.098883986473,2642.874366760254,,,,1.398732
24,3258.7690089941025,2642.874366760254,,,,1.398732
25,3182.1533073186874,2642.874366760254,,,,1.398732
26,3012.7193529605865,2642.874366760254,,,,1.398732
27,3393.6438816785812,2642.874366760254,,,,1.398732
28,3259.5268610715866,2642.874366760254,,,,1.398732
29,3262.5748953819275,2642.874366760254,,,,1.398732
30,3307.613733768463,2642.874366760254,,,,1.398732
31,3120.716080546379,2642.874366760254,,,,1.398732
32,3232.2240632772446,2642.874366760254,,,,1.398732
33,3299.1129571199417,2642.874366760254,,,,1.398732
34,2960.992766737938,2642.874366760254,,,,1.398732
35,3237.7748135328293,2642.874366760254,,,,1.398732
36,3345.2671463489532,2642.874366760254,,,,1.398732
37,3235.4178354740143,2642.874366760254,,,,1.398732
38,3188.8287019729614,2642.874366760254,,,,1.398732
39,3208.4230583906174,2642.874366760254,,,,1.398732
40,3392.508222937584,2642.874366760254,,,,1.398732
1,5089.927005767822,5089.927005767822,,,,1.373415
2,4153.260796070099,4153.260796070099,,,,1.373415
3,3058.7758420705795,3058.7758420705795,,,,1.373415
4,2891.6951563358307,2891.6951563358307,,,,1.373415
5,2642.874366760254,2642.874366760254,,,,1.373415
6,2711.5820339918137,2642.874366760254,,,,1.373415
7,2693.965089917183,2642.874366760254,,,,1.373415
8,2685.8492265939713,2642.874366760254,,,,1.373415
9,2770.29085791111,2642.874366760254,,,,1.373415
10,2729.103989481926,2642.874366760254,,,,1.373415
11,2720.2985109090805,2642.874366760254,,,,1.373415
12,3038.1537511348724,2642.874366760254,,,,1.373415
13,2973.1745265722275,2642.874366760254,,,,1.373415
14,2984.4916095733643,2642.874366760254,,,,1.373415
15,2936.4625174999237,2642.874366760254,,,,1.373415
16,3195.116120815277,2642.874366760254,,,,1.373415
17,3122.7876147031784,2642.874366760254,,,,1.373415
18,3062.061686873436,2642.874366760254,,,,1.373415
19,3015.391469836235,2642.874366760254,,,,1.373415
20,3084.890354037285,2642.874366760254,,,,1.373415
21,3244.3600928783417,2642.874366760254,,,,1.373415
22,3127.550969481468,2642.874366760254,,,,1.373415
23,3397.098883986473,2642.874366760254,,,,1.373415
24,3258.7690089941025,2642.874366760254,,,,1.373415
25,3182.1533073186874,2642.874366760254,,,,1.373415
26,3012.7193529605865,2642.874366760254,,,,1.373415
27,3393.6438816785812,2642.874366760254,,,,1.373415
28,3259.5268610715866,2642.874366760254,,,,1.373415
29,3262.5748953819275,2642.874366760254,,,,1.373415
30,3307.613733768463,2642.874366760254,,,,1.373415
31,3120.716080546379,2642.874366760254,,,,1.373415
32,3232.2240632772446,2642.874366760254,,,,1.373415
33,3299.1129571199417,2642.874366760254,,,,1.373415
34,2960.992766737938,2642.874366760254,,,,1.373415
35,3237.7748135328293,2642.874366760254,,,,1.373415
36,3345.2671463489532,2642.874366760254,,,,1.373415
37,3235.4178354740143,2642.874366760254,,,,1.373415
38,3188.8287019729614,2642.874366760254,,,,1.373415
39,3208.4230583906174,2642.874366760254,,,,1.373415
40,3392.508222937584,2642.874366760254,,,,1.373415
41,3280.4200880527496,2642.874366760254,,,,1.373415
42,3267.80626475811,2642.874366760254,,,,1.373415
43,3127.6747810840607,2642.874366760254,,,,1.373415
44,3260.4571101665497,2642.874366760254,,,,1.373415
45,3000.855686545372,2642.874366760254,,,,1.373415
46,3257.5977568626404,2642.874366760254,,,,1.373415
47,3285.8818591833115,2642.874366760254,,,,1.373415
48,3200.5977972745895,2642.874366760254,,,,1.373415
49,3328.449329137802,2642.874366760254,,,,1.373415
50,3172.002454638481,2642.874366760254,,,,1.373415
1,5089.927005767822,5089.927005767822,,,,1.348098
2,4153.260796070099,4153.260796070099,,,,1.348098
3,3058.7758420705795,3058.7758420705795,,,,1.348098
4,2891.6951563358307,2891.6951563358307,,,,1.348098
5,2642.874366760254,2642.874366760254,,,,1.348098
6,2711.5820339918137,2642.874366760254,,,,1.348098
7,2693.965089917183,2642.874366760254,,,,1.348098
8,2685.8492265939713,2642.874366760254,,,,1.348098
9,2770.29085791111,2642.874366760254,,,,1.348098
10,2729.103989481926,2642.874366760254,,,,1.348098
11,2720.2985109090805,2642.874366760254,,,,1.348098
12,3038.1537511348724,2642.874366760254,,,,1.348098
13,2973.1745265722275,2642.874366760254,,,,1.348098
14,2984.4916095733643,2642.874366760254,,,,1.348098
15,2936.4625174999237,2642.874366760254,,,,1.348098
16,3195.116120815277,2642.874366760254,,,,1.348098
17,3122.7876147031784,2642.874366760254,,,,1.348098
18,3062.061686873436,2642.874366760254,,,,1.348098
19,3015.391469836235,2642.874366760254,,,,1.348098
20,3084.890354037285,2642.874366760254,,,,1.348098
21,3244.3600928783417,2642.874366760254,,,,1.348098
22,3127.550969481468,2642.874366760254,,,,1.348098
23,3397.098883986473,2642.874366760254,,,,1.348098
24,3258.7690089941025,2642.874366760254,,,,1.348098
25,3182.1533073186874,2642.874366760254,,,,1.348098
26,3012.7193529605865,2642.874366760254,,,,1.348098
27,3393.6438816785812,2642.874366760254,,,,1.348098
28,3259.5268610715866,2642.874366760254,,,,1.348098
29,3262.5748953819275,2642.874366760254,,,,1.348098
30,3307.613733768463,2642.874366760254,,,,1.348098
31,3120.716080546379,2642.874366760254,,,,1.348098
32,3232.2240632772446,2642.874366760254,,,,1.348098
33,3299.1129571199417,2642.874366760254,,,,1.348098
34,2960.992766737938,2642.874366760254,,,,1.348098
35,3237.7748135328293,2642.874366760254,,,,1.348098
36,3345.2671463489532,2642.874366760254,,,,1.348098
37,3235.4178354740143,2642.874366760254,,,,1.348098
38,3188.8287019729614,2642.874366760254,,,,1.348098
39,3208.4230583906174,2642.874366760254,,,,1.348098
40,3392.508222937584,2642.874366760254,,,,1.348098
41,3280.4200880527496,2642.874366760254,,,,1.348098
42,3267.80626475811,2642.874366760254,,,,1.348098
43,3127.6747810840607,2642.874366760254,,,,1.348098
44,3260.4571101665497,2642.874366760254,,,,1.348098
45,3000.855686545372,2642.874366760254,,,,1.348098
46,3257.5977568626404,2642.874366760254,,,,1.348098
47,3285.8818591833115,2642.874366760254,,,,1.348098
48,3200.5977972745895,2642.874366760254,,,,1.348098
49,3328.449329137802,2642.874366760254,,,,1.348098
50,3172.002454638481,2642.874366760254,,,,1.348098
51,3338.760335803032,2642.874366760254,,,,1.348098
52,3280.6688607931137,2642.874366760254,,,,1.348098
53,3235.4600390195847,2642.874366760254,,,,1.348098
54,3243.213879942894,2642.874366760254,,,,1.348098
55,3121.5729545354843,2642.874366760254,,,,1.348098
56,3277.024580478668,2642.874366760254,,,,1.348098
57,3096.6575692892075,2642.874366760254,,,,1.348098
58,3196.740057826042,2642.874366760254,,,,1.348098
59,3273.544199824333,2642.874366760254,,,,1.348098
60,3310.8595237731934,2642.874366760254,,,,1.348098
