episode,total_dist,best_dist,steps,routes,avg_loss,epsilon
1,5089.927005767822,5089.927005767822,,,,1.436925
2,4153.260796070099,4153.260796070099,,,,1.436925
3,3058.7758420705795,3058.7758420705795,,,,1.436925
4,2891.6951563358307,2891.6951563358307,,,,1.436925
5,2627.003138065338,2627.003138065338,,,,1.436925
6,2711.5820339918137,2627.003138065338,,,,1.436925
7,2693.965089917183,2627.003138065338,,,,1.436925
8,2700.339346051216,2627.003138065338,,,,1.436925
9,2770.29085791111,2627.003138065338,,,,1.436925
10,2723.806111216545,2627.003138065338,,,,1.436925
1,5089.927005767822,5089.927005767822,,,,1.37385
2,4153.260796070099,4153.260796070099,,,,1.37385
3,3058.7758420705795,3058.7758420705795,,,,1.37385
4,2891.6951563358307,2891.6951563358307,,,,1.37385
5,2627.003138065338,2627.003138065338,,,,1.37385
6,2711.5820339918137,2627.003138065338,,,,1.37385
7,2693.965089917183,2627.003138065338,,,,1.37385
8,2700.339346051216,2627.003138065338,,,,1.37385
9,2770.29085791111,2627.003138065338,,,,1.37385
10,2723.806111216545,2627.003138065338,,,,1.37385
11,2720.2985109090805,2627.003138065338,,,,1.37385
12,3072.39000749588,2627.003138065338,,,,1.37385
13,2973.1745265722275,2627.003138065338,,,,1.37385
14,2868.0303869247437,2627.003138065338,,,,1.37385
15,3029.2097220420837,2627.003138065338,,,,1.37385
16,3080.2802863121033,2627.003138065338,,,,1.37385
17,3129.54774081707,2627.003138065338,,,,1.37385
18,3038.0016144514084,2627.003138065338,,,,1.37385
19,3164.9222334623337,2627.003138065338,,,,1.37385
20,3054.0818642377853,2627.003138065338,,,,1.37385
1,5089.927005767822,5089.927005767822,,,,1.31034
2,4153.260796070099,4153.260796070099,,,,1.31034
3,3058.7758420705795,3058.7758420705795,,,,1.31034
4,2891.6951563358307,2891.6951563358307,,,,1.31034
5,2627.003138065338,2627.003138065338,,,,1.31034
6,2711.5820339918137,2627.003138065338,,,,1.31034
7,2693.965089917183,2627.003138065338,,,,1.31034
8,2700.339346051216,2627.003138065338,,,,1.31034
9,2770.29085791111,2627.003138065338,,,,1.31034
10,2723.806111216545,2627.003138065338,,,,1.31034
11,2720.2985109090805,2627.003138065338,,,,1.31034
12,3072.39000749588,2627.003138065338,,,,1.31034
13,2973.1745265722275,2627.003138065338,,,,1.31034
14,2868.0303869247437,2627.003138065338,,,,1.31034
15,3029.2097220420837,2627.003138065338,,,,1.31034
16,3080.2802863121033,2627.003138065338,,,,1.31034
17,3129.54774081707,2627.003138065338,,,,1.31034
18,3038.0016144514084,2627.003138065338,,,,1.31034
19,3164.9222334623337,2627.003138065338,,,,1.31034
20,3054.0818642377853,2627.003138065338,,,,1.31034
21,3014.7765444517136,2627.003138065338,,,,1.31034
22,3221.5297154188156,2627.003138065338,,,,1.31034
23,3315.970272898674,2627.003138065338,,,,1.31034
24,3277.1052325963974,2627.003138065338,,,,1.31034
25,3327.7264964580536,2627.003138065338,,,,1.31034
26,3257.6161793470383,2627.003138065338,,,,1.31034
27,3107.458253264427,2627.003138065338,,,,1.31034
28,3088.795239329338,2627.003138065338,,,,1.31034
29,3308.0288223028183,2627.003138065338,,,,1.31034
30,3067.462065577507,2627.003138065338,,,,1.31034
1,5089.927005767822,5089.927005767822,,,,1.247048
2,4153.260796070099,4153.260796070099,,,,1.247048
3,3058.7758420705795,3058.7758420705795,,,,1.247048
4,2891.6951563358307,2891.6951563358307,,,,1.247048
5,2627.003138065338,2627.003138065338,,,,1.247048
6,2711.5820339918137,2627.003138065338,,,,1.247048
7,2693.965089917183,2627.003138065338,,,,1.247048
8,2700.339346051216,2627.003138065338,,,,1.247048
9,2770.29085791111,2627.003138065338,,,,1.247048
10,2723.806111216545,2627.003138065338,,,,1.247048
11,2720.2985109090805,2627.003138065338,,,,1.247048
12,3072.39000749588,2627.003138065338,,,,1.247048
13,2973.1745265722275,2627.003138065338,,,,1.247048
14,2868.0303869247437,2627.003138065338,,,,1.247048
15,3029.2097220420837,2627.003138065338,,,,1.247048
16,3080.2802863121033,2627.003138065338,,,,1.247048
17,3129.54774081707,2627.003138065338,,,,1.247048
18,3038.0016144514084,2627.003138065338,,,,1.247048
19,3164.9222334623337,2627.003138065338,,,,1.247048
20,3054.0818642377853,2627.003138065338,,,,1.247048
21,3014.7765444517136,2627.003138065338,,,,1.247048
22,3221.5297154188156,2627.003138065338,,,,1.247048
23,3315.970272898674,2627.003138065338,,,,1.247048
24,3277.1052325963974,2627.003138065338,,,,1.247048
25,3327.7264964580536,2627.003138065338,,,,1.247048
26,3257.6161793470383,2627.003138065338,,,,1.247048
27,3107.458253264427,2627.003138065338,,,,1.247048
28,3088.795239329338,2627.003138065338,,,,1.247048
29,3308.0288223028183,2627.003138065338,,,,1.247048
30,3067.462065577507,2627.003138065338,,,,1.247048
31,3081.4856008291245,2627.003138065338,,,,1.247048
32,3116.065062880516,2627.003138065338,,,,1.247048
33,3303.6288224458694,2627.003138065338,,,,1.247048
34,3298.647239804268,2627.003138065338,,,,1.247048
35,3392.4435461759567,2627.003138065338,,,,1.247048
36,3117.658868074417,2627.003138065338,,,,1.247048
37,3055.4308809041977,2627.003138065338,,,,1.247048
38,3060.1673777103424,2627.003138065338,,,,1.247048
39,2874.442158102989,2627.003138065338,,,,1.247048
40,3021.184165239334,2627.003138065338,,,,1.247048
1,5089.927005767822,5089.927005767822,,,,1.183755
2,4153.260796070099,4153.260796070099,,,,1.183755
3,3058.7758420705795,3058.7758420705795,,,,1.183755
4,2891.6951563358307,2891.6951563358307,,,,1.183755
5,2627.003138065338,2627.003138065338,,,,1.183755
6,2711.5820339918137,2627.003138065338,,,,1.183755
7,2693.965089917183,2627.003138065338,,,,1.183755
8,2700.339346051216,2627.003138065338,,,,1.183755
9,2770.29085791111,2627.003138065338,,,,1.183755
10,2723.806111216545,2627.003138065338,,,,1.183755
11,2720.2985109090805,2627.003138065338,,,,1.183755
12,3072.39000749588,2627.003138065338,,,,1.183755
13,2973.1745265722275,2627.003138065338,,,,1.183755
14,2868.0303869247437,2627.003138065338,,,,1.183755
15,3029.2097220420837,2627.003138065338,,,,1.183755
16,3080.2802863121033,2627.003138065338,,,,1.183755
17,3129.54774081707,2627.003138065338,,,,1.183755
18,3038.0016144514084,2627.003138065338,,,,1.183755
19,3164.9222334623337,2627.003138065338,,,,1.183755
20,3054.0818642377853,2627.003138065338,,,,1.183755
21,3014.7765444517136,2627.003138065338,,,,1.183755
22,3221.5297154188156,2627.003138065338,,,,1.183755
23,3315.970272898674,2627.003138065338,,,,1.183755
24,3277.1052325963974,2627.003138065338,,,,1.183755
25,3327.7264964580536,2627.003138065338,,,,1.183755
26,3257.6161793470383,2627.003138065338,,,,1.183755
27,3107.458253264427,2627.003138065338,,,,1.183755
28,3088.795239329338,2627.003138065338,,,,1.183755
29,3308.0288223028183,2627.003138065338,,,,1.183755
30,3067.462065577507,2627.003138065338,,,,1.183755
31,3081.4856008291245,2627.003138065338,,,,1.183755
