episode,total_dist,best_dist,steps,routes,avg_loss,epsilon
1,5089.927005767822,5089.927005767822,,,,1.436925
2,4153.260796070099,4153.260796070099,,,,1.436925
3,3058.7758420705795,3058.7758420705795,,,,1.436925
4,2891.6951563358307,2891.6951563358307,,,,1.436925
5,2627.003138065338,2627.003138065338,,,,1.436925
6,2711.5820339918137,2627.003138065338,,,,1.436925
7,2693.965089917183,2627.003138065338,,,,1.436925
8,2700.339346051216,2627.003138065338,,,,1.436925
9,2770.29085791111,2627.003138065338,,,,1.436925
10,2723.806111216545,2627.003138065338,,,,1.436925
1,5089.927005767822,5089.927005767822,,,,1.37385
2,4153.260796070099,4153.260796070099,,,,1.37385
3,3058.7758420705795,3058.7758420705795,,,,1.37385
4,2891.6951563358307,2891.6951563358307,,,,1.37385
5,2627.003138065338,2627.003138065338,,,,1.37385
6,2711.5820339918137,2627.003138065338,,,,1.37385
7,2693.965089917183,2627.003138065338,,,,1.37385
8,2700.339346051216,2627.003138065338,,,,1.37385
9,2770.29085791111,2627.003138065338,,,,1.37385
10,2723.806111216545,2627.003138065338,,,,1.37385
11,2720.2985109090805,2627.003138065338,,,,1.37385
12,3072.39000749588,2627.003138065338,,,,1.37385
13,2973.1745265722275,2627.003138065338,,,,1.37385
14,2868.0303869247437,2627.003138065338,,,,1.37385
15,3029.2097220420837,2627.003138065338,,,,1.37385
16,3080.2802863121033,2627.003138065338,,,,1.37385
17,3129.54774081707,2627.003138065338,,,,1.37385
18,3038.0016144514084,2627.003138065338,,,,1.37385
19,3164.9222334623337,2627.003138065338,,,,1.37385
20,3054.0818642377853,2627.003138065338,,,,1.37385
1,5089.927005767822,5089.927005767822,,,,1.310412
2,4153.260796070099,4153.260796070099,,,,1.310412
3,3058.7758420705795,3058.7758420705795,,,,1.310412
4,2891.6951563358307,2891.6951563358307,,,,1.310412
5,2627.003138065338,2627.003138065338,,,,1.310412
6,2711.5820339918137,2627.003138065338,,,,1.310412
7,2693.965089917183,2627.003138065338,,,,1.310412
8,2700.339346051216,2627.003138065338,,,,1.310412
9,2770.29085791111,2627.003138065338,,,,1.310412
10,2723.806111216545,2627.003138065338,,,,1.310412
11,2720.2985109090805,2627.003138065338,,,,1.310412
12,3072.39000749588,2627.003138065338,,,,1.310412
13,2973.1745265722275,2627.003138065338,,,,1.310412
14,2868.0303869247437,2627.003138065338,,,,1.310412
15,3029.2097220420837,2627.003138065338,,,,1.310412
16,3080.2802863121033,2627.003138065338,,,,1.310412
17,3129.54774081707,2627.003138065338,,,,1.310412
18,3038.0016144514084,2627.003138065338,,,,1.310412
19,3164.9222334623337,2627.003138065338,,,,1.310412
20,3054.0818642377853,2627.003138065338,,,,1.310412
21,3014.7765444517136,2627.003138065338,,,,1.310412
22,3221.5297154188156,2627.003138065338,,,,1.310412
23,3315.970272898674,2627.003138065338,,,,1.310412
24,3251.2894090414047,2627.003138065338,,,,1.310412
25,3327.7264964580536,2627.003138065338,,,,1.310412
26,3210.6450209617615,2627.003138065338,,,,1.310412
27,3107.458253264427,2627.003138065338,,,,1.310412
28,3088.795239329338,2627.003138065338,,,,1.310412
29,3207.302868247032,2627.003138065338,,,,1.310412
30,3029.6410048007965,2627.003138065338,,,,1.310412
1,5089.927005767822,5089.927005767822,,,,1.24712
2,4153.260796070099,4153.260796070099,,,,1.24712
3,3058.7758420705795,3058.7758420705795,,,,1.24712
4,2891.6951563358307,2891.6951563358307,,,,1.24712
5,2627.003138065338,2627.003138065338,,,,1.24712
6,2711.5820339918137,2627.003138065338,,,,1.24712
7,2693.965089917183,2627.003138065338,,,,1.24712
8,2700.339346051216,2627.003138065338,,,,1.24712
9,2770.29085791111,2627.003138065338,,,,1.24712
10,2723.806111216545,2627.003138065338,,,,1.24712
11,2720.2985109090805,2627.003138065338,,,,1.24712
12,3072.39000749588,2627.003138065338,,,,1.24712
13,2973.1745265722275,2627.003138065338,,,,1.24712
14,2868.0303869247437,2627.003138065338,,,,1.24712
15,3029.2097220420837,2627.003138065338,,,,1.24712
16,3080.2802863121033,2627.003138065338,,,,1.24712
17,3129.54774081707,2627.003138065338,,,,1.24712
18,3038.0016144514084,2627.003138065338,,,,1.24712
19,3164.9222334623337,2627.003138065338,,,,1.24712
20,3054.0818642377853,2627.003138065338,,,,1.24712
21,3014.7765444517136,2627.003138065338,,,,1.24712
22,3221.5297154188156,2627.003138065338,,,,1.24712
23,3315.970272898674,2627.003138065338,,,,1.24712
24,3251.2894090414047,2627.003138065338,,,,1.24712
25,3327.7264964580536,2627.003138065338,,,,1.24712
26,3210.6450209617615,2627.003138065338,,,,1.24712
27,3107.458253264427,2627.003138065338,,,,1.24712
28,3088.795239329338,2627.003138065338,,,,1.24712
29,3207.302868247032,2627.003138065338,,,,1.24712
30,3029.6410048007965,2627.003138065338,,,,1.24712
31,3210.340190768242,2627.003138065338,,,,1.24712
32,2969.403520345688,2627.003138065338,,,,1.24712
33,3285.860302090645,2627.003138065338,,,,1.24712
34,3286.532917737961,2627.003138065338,,,,1.24712
35,3369.392908334732,2627.003138065338,,,,1.24712
36,3198.4079002141953,2627.003138065338,,,,1.24712
37,3056.217372775078,2627.003138065338,,,,1.24712
38,3317.246169090271,2627.003138065338,,,,1.24712
39,3189.1405017375946,2627.003138065338,,,,1.24712
40,3125.3370497226715,2627.003138065338,,,,1.24712
1,5089.927005767822,5089.927005767822,,,,1.183755
2,4153.260796070099,4153.260796070099,,,,1.183755
3,3058.7758420705795,3058.7758420705795,,,,1.183755
4,2891.6951563358307,2891.6951563358307,,,,1.183755
5,2627.003138065338,2627.003138065338,,,,1.183755
6,2711.5820339918137,2627.003138065338,,,,1.183755
7,2693.965089917183,2627.003138065338,,,,1.183755
8,2700.339346051216,2627.003138065338,,,,1.183755
9,2770.29085791111,2627.003138065338,,,,1.183755
10,2723.806111216545,2627.003138065338,,,,1.183755
11,2720.2985109090805,2627.003138065338,,,,1.183755
12,3072.39000749588,2627.003138065338,,,,1.183755
13,2973.1745265722275,2627.003138065338,,,,1.183755
14,2868.0303869247437,2627.003138065338,,,,1.183755
15,3029.2097220420837,2627.003138065338,,,,1.183755
16,3080.2802863121033,2627.003138065338,,,,1.183755
17,3129.54774081707,2627.003138065338,,,,1.183755
18,3038.0016144514084,2627.003138065338,,,,1.183755
19,3164.9222334623337,2627.003138065338,,,,1.183755
20,3054.0818642377853,2627.003138065338,,,,1.183755
21,3014.7765444517136,2627.003138065338,,,,1.183755
22,3221.5297154188156,2627.003138065338,,,,1.183755
23,3315.970272898674,2627.003138065338,,,,1.183755
24,3251.2894090414047,2627.003138065338,,,,1.183755
25,3327.7264964580536,2627.003138065338,,,,1.183755
26,3210.6450209617615,2627.003138065338,,,,1.183755
27,3107.458253264427,2627.003138065338,,,,1.183755
28,3088.795239329338,2627.003138065338,,,,1.183755
29,3207.302868247032,2627.003138065338,,,,1.183755
30,3029.6410048007965,2627.003138065338,,,,1.183755
31,3210.340190768242,2627.003138065338,,,,1.183755
