route_id,visit_order,point_id,demand
1,1,TOWN_17,3
1,2,TOWN_61,3
1,3,TOWN_19,2
1,4,TOWN_57,1
1,5,TOWN_66,6
1,6,TOWN_72,3
1,7,TOWN_06,1
1,8,TOWN_07,4
1,9,TOWN_29,2
2,1,TOWN_46,5
2,2,TOWN_74,2
2,3,TOWN_03,1
2,4,TOWN_05,6
2,5,TOWN_44,6
2,6,TOWN_54,4
3,1,TOWN_10,7
3,2,TOWN_30,5
3,3,TOWN_11,7
4,1,TOWN_40,1
4,2,TOWN_25,1
4,3,TOWN_75,5
4,4,TOWN_52,6
4,5,TOWN_51,1
4,6,TOWN_71,6
4,7,TOWN_53,5
5,1,TOWN_41,6
5,2,TOWN_38,1
5,3,TOWN_39,6
5,4,TOWN_48,4
5,5,TOWN_34,1
5,6,TOWN_31,6
6,1,TOWN_50,4
6,2,TOWN_18,5
6,3,TOWN_02,4
6,4,TOWN_01,2
6,5,TOWN_23,5
6,6,TOWN_14,5
7,1,TOWN_45,3
7,2,TOWN_36,1
7,3,TOWN_09,4
7,4,TOWN_08,2
7,5,TOWN_55,7
7,6,TOWN_69,5
7,7,TOWN_42,2
7,8,TOWN_32,1
8,1,TOWN_20,3
8,2,TOWN_21,1
8,3,TOWN_24,7
8,4,TOWN_16,5
8,5,TOWN_22,3
8,6,TOWN_12,6
9,1,TOWN_56,3
9,2,TOWN_65,6
9,3,TOWN_73,3
9,4,TOWN_47,1
9,5,TOWN_70,3
9,6,TOWN_59,4
9,7,TOWN_28,4
9,8,TOWN_58,1
10,1,TOWN_49,1
10,2,TOWN_26,4
10,3,TOWN_27,5
10,4,TOWN_63,7
10,5,TOWN_13,7
11,1,TOWN_62,6
11,2,TOWN_64,6
11,3,TOWN_43,2
11,4,TOWN_15,7
12,1,TOWN_35,1
12,2,TOWN_04,4
12,3,TOWN_67,6
12,4,TOWN_60,3
12,5,TOWN_33,1
12,6,TOWN_37,4
12,7,TOWN_68,6
